telemetry_id,timestamp,equipment_id,model,longitude,engine_status,engine_hours,operating_hours,utilization_pct,maintenance_status,rental_id,vendor_name,checkout_datetime,expected_return_datetime,fuel_efficiency_liters_per_operating_hour,anomaly_injected,checkin_datetime,rental_status_generated
T0000001,2025-09-01 16:29:00,EQX0001,Komatsu GD655,77.746677,Running,8.24,4.96,60.15,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.125,False,2026-09-08 03:53:03.598891738,on_time
T0000002,2025-09-02 19:19:00,EQX0001,Komatsu GD655,77.748512,Running,4.51,3.72,82.42,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.373655913978494,False,2026-09-08 03:53:03.598891738,on_time
T0000003,2025-09-03 13:28:00,EQX0001,Komatsu GD655,77.749064,Running,9.56,7.49,78.39,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,9.671562082777037,False,2026-09-08 03:53:03.598891738,on_time
T0000004,2025-09-04 16:10:00,EQX0001,Komatsu GD655,77.749523,Off,1.51,1.51,100.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.602649006622515,False,2026-09-08 03:53:03.598891738,on_time
T0000005,2025-09-05 17:38:00,EQX0001,Komatsu GD655,77.746442,Running,8.5,6.15,72.32,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.678048780487805,False,2026-09-08 03:53:03.598891738,on_time
T0000006,2025-09-06 07:22:00,EQX0001,Komatsu GD655,77.753128,Off,1.9,0.0,0.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,,False,2026-09-08 03:53:03.598891738,on_time
T0000007,2025-09-07 14:18:00,EQX0001,Komatsu GD655,77.743812,Off,0.8,0.0,0.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,,False,2026-09-08 03:53:03.598891738,on_time
T0000008,2025-09-08 19:58:00,EQX0001,Komatsu GD655,77.749972,Running,4.77,4.21,88.34,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,9.966745843230404,False,2026-09-08 03:53:03.598891738,on_time
T0000009,2025-09-09 13:44:00,EQX0001,Komatsu GD655,77.748726,Off,2.18,0.0,0.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,,False,2026-09-08 03:53:03.598891738,on_time
T0000010,2025-09-10 09:48:00,EQX0001,Komatsu GD655,77.74945,Off,2.03,0.61,29.97,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.508196721311478,False,2026-09-08 03:53:03.598891738,on_time
T0000011,2025-09-11 18:49:00,EQX0001,Komatsu GD655,77.749907,Running,8.36,6.5,77.72,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.443076923076925,False,2026-09-08 03:53:03.598891738,on_time
T0000012,2025-09-12 14:23:00,EQX0001,Komatsu GD655,77.745652,Running,10.77,7.71,71.61,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.09857328145266,False,2026-09-08 03:53:03.598891738,on_time
T0000013,2025-09-13 08:50:00,EQX0001,Komatsu GD655,77.749418,Running,7.83,7.06,90.23,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,9.91643059490085,False,2026-09-08 03:53:03.598891738,on_time
T0000014,2025-09-14 07:30:00,EQX0001,Komatsu GD655,77.748548,Running,7.72,5.93,76.9,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.436762225969645,False,2026-09-08 03:53:03.598891738,on_time
T0000015,2025-09-15 19:04:00,EQX0001,Komatsu GD655,77.748136,Off,1.53,0.0,0.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,,False,2026-09-08 03:53:03.598891738,on_time
T0000016,2025-09-16 09:23:00,EQX0001,Komatsu GD655,77.749741,Off,3.4,1.79,52.65,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.93296089385475,False,2026-09-08 03:53:03.598891738,on_time
T0000017,2025-09-17 07:57:00,EQX0001,Komatsu GD655,77.743963,Running,9.11,7.06,77.44,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.787535410764876,False,2026-09-08 03:53:03.598891738,on_time
T0000018,2025-09-18 10:14:00,EQX0001,Komatsu GD655,77.750999,Running,9.61,7.3,76.01,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.546575342465754,False,2026-09-08 03:53:03.598891738,on_time
T0000019,2025-09-19 17:03:00,EQX0001,Komatsu GD655,77.746858,Running,7.43,4.37,58.91,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.08924485125858,False,2026-09-08 03:53:03.598891738,on_time
T0000020,2025-09-20 10:30:00,EQX0001,Komatsu GD655,77.744587,Off,1.95,1.71,87.95,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.555555555555555,False,2026-09-08 03:53:03.598891738,on_time
T0000021,2025-09-21 18:25:00,EQX0001,Komatsu GD655,77.754202,Off,2.97,0.2,6.72,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,29.45,False,2026-09-08 03:53:03.598891738,on_time
T0000022,2025-09-22 09:14:00,EQX0001,Komatsu GD655,77.753541,Running,11.2,9.24,82.51,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.043290043290042,False,2026-09-08 03:53:03.598891738,on_time
T0000023,2025-09-23 13:09:00,EQX0001,Komatsu GD655,77.75073,Running,11.04,8.18,74.03,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.944987775061124,False,2026-09-08 03:53:03.598891738,on_time
T0000024,2025-09-24 10:58:00,EQX0001,Komatsu GD655,77.748665,Running,8.25,7.2,87.32,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,40.53055555555555,True,2026-09-08 03:53:03.598891738,on_time
T0000025,2025-09-25 13:49:00,EQX0001,Komatsu GD655,77.752395,Running,6.27,4.52,72.21,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.577433628318584,False,2026-09-08 03:53:03.598891738,on_time
T0000026,2025-09-26 14:32:00,EQX0001,Komatsu GD655,77.753749,Running,12.66,8.67,68.5,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,17.758938869665513,False,2026-09-08 03:53:03.598891738,on_time
T0000027,2025-09-27 09:33:00,EQX0001,Komatsu GD655,77.744884,Running,7.98,7.88,98.75,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.290609137055837,False,2026-09-08 03:53:03.598891738,on_time
T0000028,2025-09-28 19:58:00,EQX0001,Komatsu GD655,77.748805,Running,6.49,3.79,58.4,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.899736147757256,False,2026-09-08 03:53:03.598891738,on_time
T0000029,2025-09-29 16:09:00,EQX0001,Komatsu GD655,77.750656,Running,5.55,5.38,96.92,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.715613382899628,False,2026-09-08 03:53:03.598891738,on_time
T0000030,2025-09-30 13:40:00,EQX0001,Komatsu GD655,77.750039,Running,10.67,5.66,53.05,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.014134275618376,False,2026-09-08 03:53:03.598891738,on_time
T0000031,2025-10-01 08:50:00,EQX0001,Komatsu GD655,77.749523,Running,8.62,6.76,78.42,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.357988165680474,False,2026-09-08 03:53:03.598891738,on_time
T0000032,2025-10-02 15:31:00,EQX0001,Komatsu GD655,77.753823,Running,10.6,10.5,99.06,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.126666666666669,False,2026-09-08 03:53:03.598891738,on_time
T0000033,2025-10-03 14:43:00,EQX0001,Komatsu GD655,77.748992,Off,2.74,0.0,0.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,,False,2026-09-08 03:53:03.598891738,on_time
T0000034,2025-10-04 15:53:00,EQX0001,Komatsu GD655,77.749131,Running,9.66,7.17,74.22,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.00278940027894,False,2026-09-08 03:53:03.598891738,on_time
T0000035,2025-10-05 14:04:00,EQX0001,Komatsu GD655,77.749547,Running,8.83,7.51,85.1,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.608521970705729,False,2026-09-08 03:53:03.598891738,on_time
T0000036,2025-10-06 08:11:00,EQX0001,Komatsu GD655,77.749522,Running,9.58,6.75,70.39,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.405925925925926,False,2026-09-08 03:53:03.598891738,on_time
T0000037,2025-10-07 17:22:00,EQX0001,Komatsu GD655,77.752754,Running,8.76,8.38,95.64,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.038186157517895,False,2026-09-08 03:53:03.598891738,on_time
T0000038,2025-10-08 16:38:00,EQX0001,Komatsu GD655,77.748151,Off,2.19,0.03,1.42,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,155.00000000000003,False,2026-09-08 03:53:03.598891738,on_time
T0000039,2025-10-09 11:39:00,EQX0001,Komatsu GD655,77.749951,Running,6.79,5.42,79.73,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.970479704797048,False,2026-09-08 03:53:03.598891738,on_time
T0000040,2025-10-10 18:10:00,EQX0001,Komatsu GD655,77.750592,Running,14.37,10.5,73.07,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.933333333333334,False,2026-09-08 03:53:03.598891738,on_time
T0000041,2025-10-11 10:33:00,EQX0001,Komatsu GD655,77.748262,Off,3.88,2.14,55.29,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,18.56542056074766,False,2026-09-08 03:53:03.598891738,on_time
